index,adress,price,url,x,y
2,"Poznañ, Pi¹tkowo,  Boles³awa Chrobrego 31",1 300,https://www.otodom.pl/oferta/wynajme-mieszkanie-2-pokoje-os-chrobrego-poznan-ID3vtWp.html#cbab5cf261,16.918612,52.447906
3,"Poznañ, Zawady, Na Smolnej",1 200,https://www.otodom.pl/oferta/wysoki-standard-3-pokoje-smolna-bez-prowizji-ID3CXHa.html#cbab5cf261,0,0
4,"Poznañ, Grunwald,  Brzask 10",1 300,https://www.otodom.pl/oferta/ataner-2-pokoje-kuchnia-2-balkony-brzask-poznan-ID3E8Ic.html#cbab5cf261,16.878740,52.407098
5,"Poznañ, Pi¹tkowo,  Stefana Batorego",2 300,https://www.otodom.pl/oferta/kawalerka-z-tarasem-batorego-ataner-ID3kHqG.html#cbab5cf261,16.926342,52.456025
6,"Poznañ, £azarz,  Œniadeckich",2 200,https://www.otodom.pl/oferta/mieszkanie-116m2-k-targow-poznanskich-kancelaria-ID3EcE4.html#cbab5cf261,16.904813,52.399748
7,"Poznañ, Stary Rynek,  Za Bramk¹",1 200,https://www.otodom.pl/oferta/designerskie-mieszkanie-2-pok-centrum-ID3uizO.html#cbab5cf261,0,0
8,"Poznañ, Krzy¿owa",1 300,https://www.otodom.pl/oferta/mieszkanie-ul-krzyzowa-poznan-ID3CPha.html#cbab5cf261,0,0
9,"Poznañ, Górczyn, Bosa",1 800,https://www.otodom.pl/oferta/mieszkanie-64-m-poznan-ID3EUUA.html#cbab5cf261,16.889456,52.382719
10,"Poznañ, Grunwald, Daleka",1 850,https://www.otodom.pl/oferta/mieszkanie-62-m-poznan-ID3EUUE.html#cbab5cf261,16.887239,52.382486
11,"Poznañ, Maratoñska 3b",1 690,https://www.otodom.pl/oferta/2-pokojowe-ul-maratonska-ID3x3eP.html#cbab5cf261,16.919400,52.345659
12,"Poznañ, Dêbiec",1 850,https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-60-m2-ID3EURq.html#cbab5cf261,16.919400,52.345659
13,"Poznañ, Rataje,  Oœwiecenia",1 200,https://www.otodom.pl/oferta/rataje-oswiecenia-juz-dostepne-umeblowane-3-pokoje-ID3E9Lq.html#cbab5cf261,16.962806,52.389103
14,"Poznañ, Rataje, osiedle Przemys³awa",1 600,https://www.otodom.pl/oferta/mieszkanie-trzypokojowe-os-przemyslawa-rataje-ID3oeUc.html#cbab5cf261,0,0
15,"Poznañ, Grunwald, Ognik",1 450,https://www.otodom.pl/oferta/mieszkanie-2-pok-ul-ognik-przy-business-garden-ID3EUsI.html#cbab5cf261,16.868912,52.405724
